zone,zone_name,id,party,name
20,D,216,Indian National Congress,RAJENDRA DATTATRAYA NARWANKAR
20,D,217,Bharatiya Janata Party,Minal Ruchit Patel
20,D,218,Bharatiya Janata Party,Potdar Anuradha Vijay
20,D,219,Bharatiya Janata Party,Jyotsna Devesh Mehta
20,C,220,Bharatiya Janata Party,Shah Atul Hasmukhlal
20,C,221,Bharatiya Janata Party,Purohit Akash Raj
20,C,222,Bharatiya Janata Party,Makwana Rita Bharat
21,E,207,Bharatiya Janata Party,Lokhande Surekha Rohidas
21,E,208,Shiv Sena,Rahate Ramakant Sakharam
21,E,209,Shiv Sena,Yashwant Jadhav
21,E,210,Indian National Congress,Jamsutkar Sonam Manoj
21,E,211,Samajwadi Party,Rahis Kasam Shaikh
21,E,212,AKHIL BHARTIYA SENA,GITA AJAY GAWALI
21,E,213,Indian National Congress,Javed Juneja
21,B,223,Indian National Congress,Nikam Nikita Dyanraj
21,B,224,Indian National Congress,Shaikh Aafrin Javed
21,A,225,Shiv Sena,Sanap Sujata Digvijay
21,A,226,Bharatiya Janata Party,Harshita A. Nagavekar
21,A,227,Bharatiya Janata Party,Makrand S. Narvekar
